"id_config","id_variable","tipo_variable","clave","valor","descripcion","tipo_valor","items","dependent_clave","dependent_valor","editable","co_operation","da_update"
29,30,"G","signatureOrder","true","<p align=""justify""><b>¿Desea habilitar la firma en el mòdulo de pedidos?</b></b><br> SI: Se podrá firmar en el módulo de pedidos <br> NO: No se podrá firmar en el módulo de pedidos </p></p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
30,31,"G","signatureCollection","true","<p align=""justify""><b>¿Desea habilitar la firma en el mòdulo de cobros?</b></b><br> SI: Se podrá firmar en el módulo de cobros <br> NO: No se podrá firmar en el módulo de cobros </p></p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
31,32,"G","signatureDeposit","true","<p align=""justify""><b>¿Desea habilitar la firma en el mòdulo de depósitos?</b></b><br> SI: Se podrá firmar en el módulo de depósitos <br> NO: No se podrá firmar en el módulo de depósitos </p></p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
32,33,"G","signatureStock","true","<p align=""justify""><b>¿Desea habilitar la firma en el mòdulo de inventarios?</b></b><br> SI: Se podrá firmar en el módulo de inventarios <br> NO: No se podrá firmar en el módulo de inventarios </p></p>","selectBoolean","","","",True,"I","2026-03-25 17:49:17.090152"
33,34,"G","signatureReturn","true","<p align=""justify""><b>¿Desea habilitar la firma en el mòdulo de devoluciones?</b></b><br> SI: Se podrá firmar en el módulo de devoluciones <br> NO: No se podrá firmar en el módulo de devoluciones </p></p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
34,35,"G","signatureClient","true","<p align=""justify""><b>¿Desea habilitar la firma en el mòdulo de clientes potenciales?</b></b><br> SI: Se podrá firmar en el módulo de clientes potenciales <br> NO: No se podrá firmar en el módulo de clientes potenciales </p></p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
35,36,"G","checkAddressClient","true","<p align=""""justify""""><b>¿Desea confirmar el cambio de sucursal en las transacciones?</b><br> SI: Se mostrará una ventana de confirmación al cambiar de sucursal<BR> NO: No se muestra ventana de confirmación</p>","selectBoolean","","","",True,"I","2026-04-28 18:40:27.929288"
36,37,"G","logoClient","false","<p align=""""justify""""><b>¿Desea mostrar logo propio de la empresa en la applicación móvil?</b><br> SI: Se mostrará logo del cliente<BR> NO: No se muestra logo del cliente</p>","selectBoolean","","","",False,"I","2025-10-13 09:35:54.40756"
37,38,"G","visitRout","true","<p align=""""justify""""><b>¿Desea visualizar las rutas planificadas en el modulo de visitas?</b><br> SI: Se mostrará las rutas en el mapa<BR> NO: Solo se mostrará la localización de la transacción</p>","selectBoolean","","","",False,"I","2025-10-13 09:35:54.40756"
38,11,"G","infoVendedores","true","<p align=""justify""><b>¿Maneja usted el módulo de vendedores desde el sistema administrativo?</b></b><br> SI: Debe generar el archivo ""USER_INFORMATION"" con la información de los vendedores <br> NO: Se generará automaticamente el módulo en la app móvil con la información de Denario</p></p>","selectBoolean","","","",True,"I","2026-02-12 17:08:49.54035"
39,39,"G","promoterRole","true","<p align=""justify""><b>¿Manejan el rol promotor?</b></b><br> SI: Podrán crear usuarios con el rol Promotor <br> NO: No se habilita el rol Promotor</p></p>","selectBoolean","","","",True,"I","2026-04-28 18:40:27.929288"
40,1,"P","multiCurrencyOrder","false","<p align=""justify""><b>¿Desea que los vendedores puedan elegir la moneda de la transacción en Pedidos? </b><br> SI: Se mostrará un selector con las monedas <br> NO: Solo se mostrará la moneda por defecto de la empresa</p>","selectBoolean","","","",True,"I","2026-03-19 14:05:58.758602"
41,2,"P","userCanChangePriceList","false","<p align=""justify""><b>¿Pueden los vendedores cambiar las listas de precio? </b><br> SI: Permite al usuario cambiar la lista de precio <br> NO: No permite al usuario cambiar la lista de precio</p>","selectBoolean","","","",True,"I","2026-02-12 17:03:39.165679"
42,3,"P","priceListByZone","false","<p align=""justify""><b>¿Maneja lista de precio por zonas de ventas? </b><br> SI: Debe generar el archivo “price_list_zone” donde se asocia la lista de precio a los usuarios  <br> NO: No debe generar el archivo “price_list_zone”</p>","selectBoolean","","","",False,"I","2026-01-23 11:17:01.165714"
43,4,"P","conversionByPriceList","false","<p align=""justify""><b>¿Desea cargar listas de precio según la moneda seleccionada? </b><br> SI: Se cargan la listas de precio según la moneda seleccionada <br> NO: No se cargan las listas de precio según la moneda</p>","selectBoolean","","","",True,"I","2026-01-15 15:54:29.024688"
44,5,"P","hideProdWithoutPrice","false","<p align=""justify""><b>¿Desea mostrar los productos que no tengan lista de precio asignada? </b><br> SI: Muestra los productos que no tengan lista de precio asignada <br> NO: No muestra los productos que no tengan lista de precio asignada</p>","selectBoolean","","","",True,"I","2026-03-19 14:05:58.758602"
45,6,"P","showStock","true","<p align=""justify""><b>¿Desean que se muestre el inventario de los productos en el pedido? </b><br> SI: Mostrará el inventario de los productos <br> NO: No muestra el inventario de los productos</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
46,7,"P","stock0","false","<p align=""justify""><b>¿Permite tomar pedidos a productos con inventario cero (0)? </b><br> SI: Los productos con inventario en cero (0) pueden agregarse en el pedido <br> NO: No permite cargar productos con inventario en cero (0)</p>","selectBoolean","","","",True,"I","2026-03-19 14:05:58.758602"
47,8,"P","validStock","true","<p align=""justify""><b>¿Validar el inventario mostrando un mensaje de alerta cuando se va cargar un producto sin inventario? </b><br> SI: Muestra un mensaje de alerta <br> NO: NO muestra mensaje de alerta</p>","selectBoolean","","","",True,"I","2026-05-12 14:39:20.308192"
48,9,"P","validateWarehouses","true","<p align=""justify""><b>¿Desea visualizar los almacenes y el inventario en la toma de pedido?</b><br> SI: Se mostrará el inventario de cada almacen<BR> NO: No se mostrará ni el inventario ni los almacenes</p>","selectBoolean","","","",True,"I","2026-03-19 17:09:14.452187"
